    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,  5936,  7604,  6946
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7731,  7616,  6953
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7721,  7744,  6538
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,  5649,  7323,  6553
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7566,  7334,  6612
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7577,  7369,  6167
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,  5643,  7176,  6480
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7460,  7212,  6487
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7549,  7367,  6098
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,  5556,  7180,  6412
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7434,  7223,  6384
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7500,  7355,  6109
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,  5487,  7156,  6378
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7313,  7111,  6338
    -,     -,     -,     -,     -,     -,     -,     -,     -,  7414,  7282,  5958
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -

    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
    -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -,     -
